Sample,X(ms) [22.11.2023 22:13:35 738 UTC],"Data.Tank1.WaterTemp.AIScaled","Data.Tank1.Heater.State.HeatingOut"
0,1700691215744.677775,22.4934883117676,0
1,1700691215754.668824,22.4934883117676,0
2,1700691215764.668453,22.4934883117676,0
3,1700691215774.668528,22.4934883117676,0
4,1700691215784.662103,22.4934883117676,0
5,1700691215794.657870,22.4934883117676,0
6,1700691215804.656408,22.4934883117676,0
7,1700691215814.655715,22.4934883117676,0
8,1700691215824.655748,22.4934883117676,0
9,1700691215834.657443,22.4934883117676,0
10,1700691215844.656537,22.4934883117676,0
11,1700691215854.655752,22.4934883117676,0
12,1700691215864.655231,22.4934883117676,0
13,1700691215874.656842,22.4934883117676,0
14,1700691215884.656314,22.4934883117676,0
15,1700691215894.656551,22.4934883117676,0
16,1700691215904.658036,22.4934883117676,0
17,1700691215914.656016,22.4934883117676,0
18,1700691215924.668434,22.4934883117676,0
19,1700691215934.660071,22.4934883117676,0
20,1700691215944.659464,22.4934883117676,0
21,1700691215954.658806,22.4934883117676,0
22,1700691215964.658230,22.4934883117676,0
23,1700691215974.665015,22.4537029266357,0
24,1700691215984.662541,22.4537029266357,0
25,1700691215994.658566,22.4537029266357,0
26,1700691216004.659032,22.4537029266357,0
27,1700691216014.658061,22.4537029266357,0
28,1700691216024.658725,22.4537029266357,0
29,1700691216034.718490,22.4537029266357,0
30,1700691216044.669700,22.4537029266357,0
31,1700691216054.678618,22.4537029266357,0
32,1700691216064.680388,22.4537029266357,0
33,1700691216074.693688,22.4537029266357,0
34,1700691216084.661951,22.4537029266357,0
35,1700691216094.669956,22.4537029266357,0
36,1700691216104.661665,22.4537029266357,0
37,1700691216114.659114,22.4537029266357,0
38,1700691216124.658900,22.4537029266357,0
39,1700691216134.659583,22.4537029266357,0
40,1700691216144.660206,22.4537029266357,0
41,1700691216154.670089,22.4537029266357,0
42,1700691216164.662617,22.4537029266357,0
43,1700691216174.665268,22.4537029266357,0
44,1700691216184.663011,22.4537029266357,0
45,1700691216194.661264,22.4537029266357,0
46,1700691216204.660104,22.4537029266357,0
47,1700691216214.659882,22.4537029266357,0
48,1700691216224.667237,22.3741321563721,0
49,1700691216234.666823,22.3741321563721,0
50,1700691216244.661123,22.3741321563721,0
51,1700691216254.660683,22.3741321563721,0
52,1700691216264.660454,22.3741321563721,0
53,1700691216274.663741,22.3741321563721,0
54,1700691216284.660681,22.3741321563721,0
55,1700691216294.660863,22.3741321563721,0
56,1700691216304.672746,22.3741321563721,0
57,1700691216314.672900,22.3741321563721,0
58,1700691216324.664893,22.3741321563721,0
59,1700691216334.666001,22.3741321563721,0
60,1700691216344.672910,22.3741321563721,0
61,1700691216354.679979,22.3741321563721,0
62,1700691216364.664187,22.3741321563721,0
63,1700691216374.666006,22.3741321563721,0
64,1700691216384.663613,22.3741321563721,0
65,1700691216394.669936,22.3741321563721,0
66,1700691216404.664172,22.3741321563721,0
67,1700691216414.669262,22.3741321563721,0
68,1700691216424.665653,22.3741321563721,0
69,1700691216434.664391,22.3741321563721,0
70,1700691216444.665289,22.3741321563721,0
71,1700691216454.672167,22.3741321563721,0
72,1700691216464.669100,22.3741321563721,0
73,1700691216474.668701,23.2602710723877,0
74,1700691216484.669895,23.2602710723877,0
75,1700691216494.670077,23.2602710723877,0
76,1700691216504.676275,23.2602710723877,0
77,1700691216514.699867,23.2602710723877,0
78,1700691216524.670916,23.2602710723877,0
79,1700691216534.667473,23.2602710723877,0
80,1700691216544.667898,23.2602710723877,0
81,1700691216554.665273,23.2602710723877,0
82,1700691216564.667944,23.2602710723877,0
83,1700691216574.665742,23.2602710723877,0
84,1700691216584.668911,23.2602710723877,0
85,1700691216594.667130,23.2602710723877,0
86,1700691216604.665440,23.2602710723877,0
87,1700691216614.670052,23.2602710723877,0
88,1700691216624.671032,23.2602710723877,0
89,1700691216634.667601,23.2602710723877,0
90,1700691216644.671308,23.2602710723877,0
91,1700691216654.681858,23.2602710723877,0
92,1700691216664.699068,23.2602710723877,0
93,1700691216674.702163,23.2602710723877,0
94,1700691216684.667934,23.2602710723877,0
95,1700691216694.681251,23.2602710723877,0
96,1700691216704.685889,23.2602710723877,0
97,1700691216714.673733,23.2602710723877,0
98,1700691216724.677717,23.1553821563721,0
99,1700691216734.675633,23.1553821563721,0
100,1700691216744.669530,23.1553821563721,0
101,1700691216754.673605,23.1553821563721,0
102,1700691216764.673344,23.1553821563721,0
103,1700691216774.674966,23.1553821563721,0
104,1700691216784.670839,23.1553821563721,0
105,1700691216794.669480,23.1553821563721,0
106,1700691216804.677671,23.1553821563721,0
107,1700691216814.675457,23.1553821563721,0
108,1700691216824.673132,23.1553821563721,0
109,1700691216834.673877,23.1553821563721,0
110,1700691216844.678690,23.1553821563721,0
111,1700691216854.681064,23.1553821563721,0
112,1700691216864.674589,23.1553821563721,0
113,1700691216874.671533,23.1553821563721,0
114,1700691216884.670028,23.1553821563721,0
115,1700691216894.673269,23.1553821563721,0
116,1700691216904.670403,23.1553821563721,0
117,1700691216914.671566,23.1553821563721,0
118,1700691216924.674348,23.1553821563721,0
119,1700691216934.671073,23.1553821563721,0
120,1700691216944.678493,23.1553821563721,0
121,1700691216954.672954,23.1553821563721,0
122,1700691216965.077514,23.1553821563721,0
123,1700691216974.679076,22.4754047393799,0
124,1700691216984.675014,22.4754047393799,0
125,1700691216994.671855,22.4754047393799,0
126,1700691217004.672275,22.4754047393799,0
127,1700691217014.673511,22.4754047393799,0
128,1700691217024.674732,22.4754047393799,0
129,1700691217034.672040,22.4754047393799,0
130,1700691217044.671310,22.4754047393799,0
131,1700691217054.673633,22.4754047393799,0
132,1700691217064.690099,22.4754047393799,0
133,1700691217074.688756,22.4754047393799,0
134,1700691217084.685919,22.4754047393799,0
135,1700691217094.680036,22.4754047393799,0
136,1700691217104.676776,22.4754047393799,0
137,1700691217114.676293,22.4754047393799,0
138,1700691217124.684278,22.4754047393799,0
139,1700691217134.674823,22.4754047393799,0
140,1700691217144.676910,22.4754047393799,0
141,1700691217154.676318,22.4754047393799,0
142,1700691217164.678597,22.4754047393799,0
143,1700691217174.677990,22.4754047393799,0
144,1700691217184.684810,22.4754047393799,0
145,1700691217194.676672,22.4754047393799,0
146,1700691217204.678335,22.4754047393799,0
147,1700691217214.678957,22.4754047393799,0
148,1700691217224.676489,22.6236972808838,0
149,1700691217234.677513,22.6236972808838,0
150,1700691217244.692342,22.6236972808838,0
151,1700691217254.673744,22.6236972808838,0
152,1700691217264.671921,22.6236972808838,0
153,1700691217274.673987,22.6236972808838,0
154,1700691217284.680363,22.6236972808838,0
155,1700691217294.673236,22.6236972808838,0
156,1700691217304.672745,22.6236972808838,0
157,1700691217314.672595,22.6236972808838,0
158,1700691217324.672625,22.6236972808838,0
159,1700691217334.678553,22.6236972808838,0
160,1700691217344.673210,22.6236972808838,0
161,1700691217354.720955,22.6236972808838,0
162,1700691217364.676062,22.6236972808838,0
163,1700691217374.679422,22.6236972808838,0
164,1700691217384.679102,22.6236972808838,0
165,1700691217394.682435,22.6236972808838,0
166,1700691217404.677600,22.6236972808838,0
167,1700691217414.690462,22.6236972808838,0
168,1700691217424.711605,22.6236972808838,0
169,1700691217434.677952,22.6236972808838,0
170,1700691217444.675654,22.6236972808838,0
171,1700691217454.681501,22.6236972808838,0
172,1700691217464.678479,22.6236972808838,0
173,1700691217474.688203,22.4934883117676,0
174,1700691217484.688530,22.4934883117676,0
175,1700691217494.681560,22.4934883117676,0
176,1700691217504.686462,22.4934883117676,0
177,1700691217514.682037,22.4934883117676,0
178,1700691217524.680518,22.4934883117676,0
179,1700691217534.679798,22.4934883117676,0
180,1700691217544.681098,22.4934883117676,0
181,1700691217554.680582,22.4934883117676,0
182,1700691217564.679086,22.4934883117676,0
183,1700691217574.677591,22.4934883117676,0
184,1700691217584.682264,22.4934883117676,0
185,1700691217594.689277,22.4934883117676,0
186,1700691217604.684204,22.4934883117676,0
187,1700691217614.679891,22.4934883117676,0
188,1700691217624.679120,22.4934883117676,0
189,1700691217634.676496,22.4934883117676,0
190,1700691217644.682243,22.4934883117676,0
191,1700691217654.677433,22.4934883117676,0
192,1700691217664.678156,22.4934883117676,0
193,1700691217674.681190,22.4934883117676,0
194,1700691217684.684033,22.4934883117676,0
195,1700691217694.678124,22.4934883117676,0
196,1700691217704.694712,22.4934883117676,0
197,1700691217714.682546,22.4934883117676,0
198,1700691217724.686676,22.4934883117676,0
199,1700691217734.693523,22.6056137084961,0
200,1700691217744.694827,22.6056137084961,0
201,1700691217754.679313,22.6056137084961,0
202,1700691217764.677498,22.6056137084961,0
203,1700691217774.678879,22.6056137084961,0
